Unique_ID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Density_Nm2,Region,Trophic,Group,Genus,Reference,Notes
1,1,1,Mammal,Artiodactyla,Adenota kob,83400,0.00000776,Unknown,Herbivore,Eutherian,Adenota,"Bourliere 1962; Bourliere 1965; Eltringham Din 1977; Esser 1979; Field 1970; Geerling 1971; Green 1979; in Damuth 1987 (Ref: 66, 67, 194, 198, 208, 245, 261)",
2,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,5.04E-09,"Etosha National Park, Namibia; 1998",Herbivore,Eutherian,Aepyceros,Black-faced; Ministry Environment & Tourism Namibia http://www.met.gov.na/programmes/nnep/category.htm#Wildlife,
3,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.1884E-06,"Gonarezhou National Park, Zimbabwe; 2009",Herbivore,Eutherian,Aepyceros,Dunham et al. 2010; p. 15,
4,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.14417E-05,"Hluhluwe iMfolozi National Park, South Africa; 1982",Herbivore,Eutherian,Aepyceros,Whateley and Brooks 1985; After Brooks and Macdonald 1983,
5,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.74957E-05,"Hluhluwe iMfolozi National Park, South Africa; 2000",Herbivore,Eutherian,Aepyceros,Average of totals from 1997-1999; Wadge 2007; p. 95-101; Line Transect Surveys from Kwa-Zulu Natal Wildlife Service Zululand Region Yearbooks 1987-2000,
6,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,4.52204E-06,"Kruger National Park, South Africa; 2009",Herbivore,Eutherian,Aepyceros,SANParks Website,
7,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.19446E-06,"Hwange National Park, Zimbabwe; 1996",Herbivore,Eutherian,Aepyceros,East 1998 p. 421; East 1988 p. 56; 10000 or more,
8,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,4.80442E-06,"Katavi National Park, Tanzania; 2009",Herbivore,Eutherian,Aepyceros,Kiffner et al. 2009; from Density estimates,
9,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,5.5021E-07,"Hwange National Park, Zimbabwe; 1973",Herbivore,Eutherian,Aepyceros,Wilson 1975; Appendix B p. 143,
10,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,1.07457E-05,"Kruger National Park, South Africa; 1964",Herbivore,Eutherian,Aepyceros,Pienaar 1966 p. 75; Schaller 1972 p. 429 recounts that Estes claims only 97400 impala,
11,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,8.0573E-06,"Kruger National Park, South Africa; 1975",Herbivore,Eutherian,Aepyceros,SANParks Census from Owen-Smith,
12,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,7.2176E-06,"Kruger National Park, South Africa; 1984",Herbivore,Eutherian,Aepyceros,SANParks Census from Owen-Smith,
13,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,4.61072E-06,"Kruger National Park, South Africa; 1997",Herbivore,Eutherian,Aepyceros,SANParks Census from Owen-Smith; data from 1995,
14,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.0000024,"Ngorongoro Crater, Tanzania; 1997",Herbivore,Eutherian,Aepyceros,from 1991; Campbell and Borner 1995 in Sinclair 1995 p. 122,
15,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.0000024,"Ngorongoro Crater, Tanzania; 2004",Herbivore,Eutherian,Aepyceros,from 1991; Campbell and Borner 1995 in Sinclair 1995 p. 122,
16,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,6.45556E-05,"Nwaswitshaka River, Kruger NP, South Africa; 1975",Herbivore,Eutherian,Aepyceros,Bailey 1993; Dry season averages from 1973-1975; p. 58,
17,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.0000118,"Okavango Delta, Botswana; 2008",Herbivore,Eutherian,Aepyceros,"BPCTrust 2010;+-4.4; Note ODMP 2008 estimate density of 7/km2 from 10 aerial counts done from 1988-2002 by the Dept of Wildlife and National Parks, Gov of Botswana, after Bonyongo, 2004 from estimate over 20000 km2 of 140000",
18,1,1,Mammal,Artiodactyla,Aepyceros melampus,44000,0.000003624,"Pilanesburg National Park, South Africa; 2000",Herbivore,Eutherian,Aepyceros,van Dyk Slotow 2003; Appendix 1,
