Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Include?,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1,,size ratio,cv,numtrials,rangeeaten,prop fully eaten,,'Type2_Rsquare','Type2_AIC','Type2a_lowCI','Type2a_median','Type2a_upCI','Type2h_lowCI','Type2h_median','Type2h_upCI','Type3_Rsquare','Type3_AIC','Type3a_lowCI','Type3a_median','Type3a_upCI','Type3h_lowCI','Type3h_median','Type3h_upCI','Type3q_lowCI','Type3q_median','Type3q_upCI'
1,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,,Mean,1,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,4.96E+00,Alternate species length,2,m^2.5 per pred per day,1,200,0.32,126.01,2.11E-02,8.71E-03,8.27E-02,2.11E-02,8.97E-03,3.25E-02,,,13.85,0.48,22,28.6,0,,0.32,126.01,2.11E-02,8.71E-03,8.27E-02,2.11E-02,8.97E-03,3.25E-02,0.34,127.69,0.001097113,0.000341649,0.742304581,2.22E-02,7.87E-09,0.034852593,0.499999186,-0.5,0.499999991
2,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,,Mean,1,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,6.66E+00,Alternate species length,2,m^2.5 per pred per day,2,200,0.44,95.31,2.35E-03,1.55E-03,8.54E-03,1.08E-02,1.21E-09,9.03E-02,,,10.33,0.66,31,9.58,0,,0.44,95.31,2.35E-03,1.55E-03,8.54E-03,1.08E-02,1.21E-09,9.03E-02,0.45,97.11,2.39E-03,3.04E-05,0.170855919,2.29E-08,2.34E-14,0.080067512,-0.015114386,-0.5,0.49999997
3,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,0,N,12,26,,1,1.96E+01,,4.61E-03,Alternate species length,4,2.05E-03,Alternate species length,2,m^2 per pred per day,3,200,0.96,49.5,1.02E-02,9.10E-03,1.14E-02,2.35E-02,1.88E-02,2.71E-02,,,2.25,0.83,31,32,0.68,,0.96,49.5,1.02E-02,9.10E-03,1.14E-02,2.35E-02,1.88E-02,2.71E-02,0.97,46.1,0.00137078,0.000335151,0.013729908,0.027556627,0.020486934,0.032185343,0.291743942,-0.064686557,0.499999998
4,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,0,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,2.05E-03,Alternate species length,2,m^2 per pred per day,4,200,0.94,218.54,9.21E-03,7.80E-03,1.05E-02,5.52E-03,4.10E-03,6.55E-03,,,1215.06,0.85,46,148,0.46,,0.94,218.54,9.21E-03,7.80E-03,1.05E-02,5.52E-03,4.10E-03,6.55E-03,0.94,217.86,0.001227025,0.000155377,0.009419468,0.006873724,0.004548291,0.00835317,0.240205145,-0.020460751,0.494834706
5,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,1,N,12,26, ,1,1.96E+01,,4.61E-03,Alternate species length,4,9.42E-03,% adult mass,3,m^2 per pred per day,5,200,0.87,84.99,8.55E-03,5.83E-03,1.14E-02,2.48E-02,1.73E-02,3.17E-02,,,0.49,0.76,29,36,0.41,,0.87,84.99,8.55E-03,5.83E-03,1.14E-02,2.48E-02,1.73E-02,3.17E-02,0.87,86.76,0.005374909,0.000288221,0.048789598,0.025827609,0.009526881,0.035230439,0.069029198,-0.277097886,0.499999715
6,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,1,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,9.42E-03,% adult mass,3,m^2 per pred per day,6,200,0.95,137.48,1.20E-02,9.74E-03,1.44E-02,7.51E-03,6.44E-03,8.23E-03,,,263.73,0.68,32,100,0.38,,0.95,137.48,1.20E-02,9.74E-03,1.44E-02,7.51E-03,6.44E-03,8.23E-03,0.96,134.5,0.000449697,0.000164689,0.004887662,0.008993085,0.00714256,0.009867619,0.387625924,0.088158197,0.499999987
7,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysopa oculata,2nd and 3rd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,0,N,,29,,1,7.85E+01,,2.05E+01,% adult mass,4,2.68E-03,Alternate species length,1,m^2 per pred per day,7,200,0.51,195.45,2.45E-02,1.32E-02,3.62E-02,1.01E-02,4.55E-03,1.42E-02,,,7642.06,0.58,30,62.72,0,,0.51,195.45,2.45E-02,1.32E-02,3.62E-02,1.01E-02,4.55E-03,1.42E-02,0.52,197.13,0.000793039,0.000485353,0.390342429,1.19E-02,1.36E-08,0.016307814,0.499998685,-0.436919109,0.499999952
8,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris punctipes,Adult,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,0,N,,29,,1,7.85E+01,,1.69E+00,Alternate species length,1,2.68E-03,Alternate species length,1,m^2 per pred per day,8,200,0.35,132.31,1.79E-02,9.10E-03,3.21E-02,9.94E-03,1.64E-09,1.86E-02,,,630.16,0.52,20,47.56,0,,0.35,132.31,1.79E-02,9.10E-03,3.21E-02,9.94E-03,1.64E-09,1.86E-02,0.36,134.68,0.000605149,0.000268075,0.376806301,1.23E-02,2.84E-13,0.020744425,0.499998191,-0.430560216,0.499999944
9,Enkegaard et al 2001 ENTO EXP APPL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Greenhouse whitefly,Trialeurodes vaporariorum,1st instar,2,Mean,1,N,23,22,,1,5.82E+01,,2.24E+00,Alternate species length,1,4.12E-04,Alternate species length,3,m^2 per pred per day,9,200,0.69,675.77,2.99E-03,2.55E-03,3.63E-03,3.06E-09,1.83E-10,3.92E-03,,,5438.33,1.07,120,73.57,0,,0.69,675.77,2.99E-03,2.55E-03,3.63E-03,3.06E-09,1.83E-10,3.92E-03,0.69,675.36,1.95E-04,3.41E-05,0.002325178,3.26E-03,2.34E-14,0.010462138,0.295471592,0.013426934,0.49999988
10,Sepulveda and Carrillo 2008 REV BIO TROP,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Chileseius camposi,Adult,3,Metazoan,Invertebrate,Arachnid,Mite,European red mite,Panonychus ulmi,Adult female,2,Mean,1,N,24,20,,1,3.14E+00,,6.13E-02,Alternate order mass,1,2.53E-02,Alternate species length,1,m^2 per pred per day,10,200,0.11,344.19,8.85E-05,3.58E-05,2.02E-04,2.17E-01,1.73E-02,3.82E-01,,,2.42,0.61,150,3.04,0,,0.11,344.19,8.85E-05,3.58E-05,2.02E-04,2.17E-01,1.73E-02,3.82E-01,0.11,345.74,6.61E-06,4.09E-07,0.008217552,2.34E-01,1.74E-08,0.42350485,0.269033536,-0.493960493,0.499999895
