"Data.set","Source","Predation.or.Parasitism","Dim","Field.","Habitat","Fresh.or.Marine","Predator.cellularity","Vert.invert","Major.grouping.1","Major.grouping.2","Predator.scientific.name","Predator.type","Trophic.level.predator","Prey.cellularity","Vert.invert.1","Major.grouping.1.1","Major.grouping.2.1","Prey","Prey.scientific.name","Prey.type","Trophic.level.prey","Data.type","Include.","Prey.replaced.","Hours.starved","Temp..C..","Interference","Pred.per.arena","X2D.Arena.size..cm2...bottom.SA.","X3D.arena.size..cm3.","Predator.mass..mg.","Predator.mass.source.code","Predator.mass.identifier","Prey.mass..mg.","Prey.mass.source.code","Prey.mass.identifier","Units.of.a","Data.set.1","Number.of.bootstraps","Mean.R2.of.fits","AIC","Fitted.a..median.of.BS.samples.","CI.a.low","CI.a.hi","Fittted.h..day.","CI.h.low","CI.h.hi","Notes.1","X","size.ratio","cv","numtrials","rangeeaten","prop.fully.eaten","X.1","X.Type2_Rsquare.","X.Type2_AIC.","X.Type2a_lowCI.","X.Type2a_median.","X.Type2a_upCI.","X.Type2h_lowCI.","X.Type2h_median.","X.Type2h_upCI.","X.Type3_Rsquare.","X.Type3_AIC.","X.Type3a_lowCI.","X.Type3a_median.","X.Type3a_upCI.","X.Type3h_lowCI.","X.Type3h_median.","X.Type3h_upCI.","X.Type3q_lowCI.","X.Type3q_median.","X.Type3q_upCI.","PreyAbundanceGroup","PredMetabolismGroup","Mass_g","PredMass_g","PreyAbundance_5","PreyAbundance_10","PreyAbundance_20","PreyAbundance_30","PreyAbundance_40","PreyAbundance_50","PreyAbundance_60","PreyAbundance_70","PreyAbundance_80","PreyAbundance_90","PreyAbundance_95","PredMetabolism"
1,"Soluk 1993 ECOLOGY","Predator",2.5,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Perlidae","Agnetina capitata","Larva",NA,"Metazoan","Invertebrate","Insect","Baetidae","Mayfly","Baetis tricaudatus","Larva",NA,"Mean",1,"N","24",NA,"","1",1900,"",68.8,"Original length","2",4.96,"Alternate species length","2","m^2.5 per pred per day",1,200,0.32,126.01,0.0211,0.00871,0.0827,0.0211,0.00897,0.0325,"",NA,"13.85",0.48,22,28.6,0,NA,0.32,126.01,0.0211,0.00871,0.0827,0.0211,0.00897,0.0325,0.34,127.69,0.001097113,0.000341649,0.742304581,0.0222,7.87e-09,0.034852593,0.499999186,-0.5,0.499999991,"invertebrate","invertebrate",0.00496,0.0688,2.84253918543795,6.36923434357615,18.5569660870161,41.6453523788203,79.711855512222,150.559478602013,283.691839707086,571.839589824368,1254.83303107356,4065.9594666439,9873.03665266911,0.00497285354346226
2,"Soluk 1993 ECOLOGY","Predator",2.5,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Perlidae","Agnetina capitata","Larva",NA,"Metazoan","Invertebrate","Insect","Ephemerellidae","Mayfly","Ephemerella subvaria","Larva",NA,"Mean",1,"N","24",NA,"","1",1900,"",68.8,"Original length","2",6.66,"Alternate species length","2","m^2.5 per pred per day",2,200,0.44,95.31,0.00235,0.00155,0.00854,0.0108,1.21e-09,0.0903,"",NA,"10.33",0.66,31,9.58,0,NA,0.44,95.31,0.00235,0.00155,0.00854,0.0108,1.21e-09,0.0903,0.45,97.11,0.00239,3.04e-05,0.170855919,2.29e-08,2.34e-14,0.080067512,-0.015114386,-0.5,0.49999997,"invertebrate","invertebrate",0.00666,0.0688,1.85057253009589,5.06240506906812,16.194132978831,34.0563216651934,64.4266295135112,116.537632932884,225.78872142795,441.910962212232,989.72933809814,3355.7656111492,8678.94105453892,0.00513889727690868
5,"Hassanpour et al 2011 INS SCI","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Neuroptera","Chrysoperla carnea","1st instar",3,"Metazoan","Invertebrate","Insect","Lepidoptera","Cotton bollworm","Helicoverpa armigera","1st instar",2,"Raw data",1,"N","12",26," ","1",19.6,"",0.00461,"Alternate species length","4",0.00942,"% adult mass","3","m^2 per pred per day",5,200,0.87,84.99,0.00855,0.00583,0.0114,0.0248,0.0173,0.0317,"",NA,"0.49",0.76,29,36,0.41,NA,0.87,84.99,0.00855,0.00583,0.0114,0.0248,0.0173,0.0317,0.87,86.76,0.005374909,0.000288221,0.048789598,0.025827609,0.009526881,0.035230439,0.069029198,-0.277097886,0.499999715,"invertebrate","invertebrate",9.42e-06,4.61e-06,97.3635368062473,260.396766949043,747.603352146141,1657.15555760622,3409.05731555523,6556.1659915272,12337.1626518662,24507.5282808608,52729.4491763882,155679.389757906,371747.788816551,1.90621068063753e-06
6,"Hassanpour et al 2011 INS SCI","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Neuroptera","Chrysoperla carnea","2nd instar",3,"Metazoan","Invertebrate","Insect","Lepidoptera","Cotton bollworm","Helicoverpa armigera","1st instar",2,"Raw data",1,"N","12",26,"","1",19.6,"",2.49,"% adult mass","5",0.00942,"% adult mass","3","m^2 per pred per day",6,200,0.95,137.48,0.012,0.00974,0.0144,0.00751,0.00644,0.00823,"",NA,"263.73",0.68,32,100,0.38,NA,0.95,137.48,0.012,0.00974,0.0144,0.00751,0.00644,0.00823,0.96,134.5,0.000449697,0.000164689,0.004887662,0.008993085,0.00714256,0.009867619,0.387625924,0.088158197,0.499999987,"invertebrate","invertebrate",9.42e-06,0.00249,92.485083144789,238.680853555143,740.410103584087,1666.51973167768,3236.12816795924,5963.50837798849,10882.6619621483,21837.8254662549,50864.0274039527,159255.496831678,403076.83142222,0.000344506716697418
9,"Enkegaard et al 2001 ENTO EXP APPL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Insect","Hemiptera","Macrolophus caliginosus","Adult female",3,"Metazoan","Invertebrate","Insect","Hemiptera","Greenhouse whitefly","Trialeurodes vaporariorum","1st instar",2,"Mean",1,"N","23",22,"","1",58.2,"",2.24,"Alternate species length","1",0.000412,"Alternate species length","3","m^2 per pred per day",9,200,0.69,675.77,0.00299,0.00255,0.00363,3.06e-09,1.83e-10,0.00392,"",NA,"5438.33",1.07,120,73.57,0,NA,0.69,675.77,0.00299,0.00255,0.00363,3.06e-09,1.83e-10,0.00392,0.69,675.36,0.000195,3.41e-05,0.002325178,0.00326,2.34e-14,0.010462138,0.295471592,0.013426934,0.49999988,"invertebrate","invertebrate",4.12e-07,0.00224,608.210270403049,1690.10455968078,5148.30058624406,11635.4898137479,23244.7675458547,42416.4845138667,79214.4111602973,145973.7238553,331658.832207198,944401.802319696,2698226.91466602,0.000324355143535634
10,"Sepulveda and Carrillo 2008 REV BIO TROP","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Chileseius camposi","Adult",3,"Metazoan","Invertebrate","Arachnid","Mite","European red mite","Panonychus ulmi","Adult female",2,"Mean",1,"N","24",20,"","1",3.14,"",0.0613,"Alternate order mass","1",0.0253,"Alternate species length","1","m^2 per pred per day",10,200,0.11,344.19,8.85e-05,3.58e-05,0.000202,0.217,0.0173,0.382,"",NA,"2.42",0.61,150,3.04,0,NA,0.11,344.19,8.85e-05,3.58e-05,0.000202,0.217,0.0173,0.382,0.11,345.74,6.61e-06,4.09e-07,0.008217552,0.234,1.74e-08,0.42350485,0.269033536,-0.493960493,0.499999895,"invertebrate","invertebrate",2.53e-05,6.13e-05,64.7430354341826,151.655590928787,456.422395077489,968.310483246156,1871.78868758678,3614.45675042856,7020.12545467254,13032.7987012507,28361.3641720236,84310.6141740167,213940.25917213,1.58964965614122e-05
12,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Larva",2,"Mean",1,"N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0107,"% adult mass","8","m^2 per pred per day",12,200,0.79,44.12,0.00254,0.00215,0.00297,0.024,0.00804,0.0417,"24 hr trial",NA,"6.21",0.48,60,7.7,0,NA,0.79,44.12,0.00254,0.00215,0.00297,0.024,0.00804,0.0417,0.79,45.57,0.00410999,0.000236252,0.01656756,0.0153,6.76e-09,0.056748695,-0.071610956,-0.257812045,0.336769261,"invertebrate","invertebrate",1.07e-05,6.66e-05,101.406958636202,229.293870377053,670.920178566915,1555.05349828912,3106.95608411797,5918.03315923956,10659.7915901426,22080.7790358446,49894.3475663647,138412.596478244,345682.840092281,1.63555419734404e-05
13,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Nymph",2,"Mean",1,"N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0249,"% adult mass","7","m^2 per pred per day",13,200,0.75,44.3,0.00285,0.00228,0.00358,0.0382,0.0183,0.0581,"24 hr trial",NA,"2.67",0.44,60,7.4,0,NA,0.75,44.3,0.00285,0.00228,0.00358,0.0382,0.0183,0.0581,0.75,45.38,0.00921454,0.000356359,0.030424291,2.03e-06,3.73e-09,0.069698938,-0.184618492,-0.328599033,0.304963503,"invertebrate","invertebrate",2.49e-05,6.66e-05,62.0116610614779,141.454541818513,414.748204968802,992.704854338906,1907.10317212667,3793.092653505,6778.79132926393,12827.4389820733,28806.021870499,81586.7932517266,194581.553060555,1.74202633888885e-05
14,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult male",2,"Mean",1,"N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0666,"Alternate species length","1","m^2 per pred per day",14,200,0.62,42.9,0.00321,0.00253,0.00464,0.0739,0.0536,0.0992,"24 hr trial",NA,"1",0.37,60,5.5,0,NA,0.62,42.9,0.00321,0.00253,0.00464,0.0739,0.0536,0.0992,0.63,44.11,0.005441377,9.41e-05,0.088657118,0.0591,2.29e-09,0.121604968,-0.07313175,-0.484214797,0.499999885,"invertebrate","invertebrate",6.66e-05,6.66e-05,31.6354047326914,79.6239955658577,250.138325454319,537.14435870508,1034.13780582849,1942.1142764527,3651.40032991173,7223.6595969071,16085.3421176696,46365.7065092019,122758.447692775,1.67773824317978e-05
15,"Hoque et al 2010 UNIV J ZOOL","Predator",2,"","Terrestrial","","Metazoan","Invertebrate","Arachnid","Mite","Phytoseiulus persimilis","Adult female",3,"Metazoan","Invertebrate","Arachnid","Mite","Red spider mite","Tetranychus urticae","Adult female",2,"Mean",1,"N","",NA,"","1",113,"",0.0666,"Alternate species length","1",0.0703,"Alternate species length","3","m^2 per pred per day",15,200,0.36,-19.29,0.00102,0.000641,0.00189,0.174,0.0409,0.349,"24 hr trial",NA,"0.95",0.4,60,1.5,0,NA,0.36,-19.29,0.00102,0.000641,0.00189,0.174,0.0409,0.349,0.36,-17.54,0.00714,8.72e-05,0.042305991,2.03e-05,1.82e-09,0.317928969,-0.298610102,-0.5,0.353695697,"invertebrate","invertebrate",7.03e-05,6.66e-05,31.8669338131958,78.3597195576395,227.557306878494,528.904819505486,1017.31990294768,1942.4566480011,3685.21304095541,7155.31241644259,15910.6089610607,43058.6754191892,121014.255025892,1.7124881176969e-05
